,Title,Year,Genre,Rating
0,The Shawshank Redemption,1994,['Drama'],9.3
1,The Godfather,1972,['Crime'],9.2
2,The Godfather: Part II,1974,['Crime'],9.0
3,The Dark Knight,2008,['Action'],9.0
4,12 Angry Men,1957,['Crime'],9.0
5,Schindler's List,1993,['Biography'],8.9
6,The Lord of the Rings: The Return of the King,2003,['Action'],8.9
7,Pulp Fiction,1994,['Crime'],8.9
8,"The Good, the Bad and the Ugly",1966,['Adventure'],8.8
9,The Lord of the Rings: The Fellowship of the Ring,2001,['Action'],8.8
10,Fight Club,1999,['Drama'],8.8
11,Forrest Gump,1994,['Drama'],8.8
12,Inception,2010,['Action'],8.8
13,The Lord of the Rings: The Two Towers,2002,['Action'],8.7
14,Star Wars: Episode V - The Empire Strikes Back,1980,['Action'],8.7
15,The Matrix,1999,['Action'],8.7
16,Goodfellas,1990,['Biography'],8.7
17,One Flew Over the Cuckoo's Nest,1975,['Drama'],8.7
18,Seven Samurai,1954,['Action'],8.6
19,Seven,1995,['Crime'],8.6
20,The Silence of the Lambs,1991,['Crime'],8.6
21,City of God,2002,['Crime'],8.6
22,It's a Wonderful Life,1946,['Comedy'],8.6
23,Life Is Beautiful,1997,['Comedy'],8.6
24,Saving Private Ryan,1998,['Drama'],8.6
25,Star Wars: Episode IV - A New Hope,1977,['Action'],8.6
26,Interstellar,2014,['Adventure'],8.6
27,Spirited Away,2001,['Animation'],8.6
28,Spider-Man: No Way Home,2021,['Action'],8.7
29,The Green Mile,1999,['Crime'],8.6
30,Parasite,2019,['Comedy'],8.6
31,Leon,1994,['Action'],8.5
32,Harakiri,1962,"['Action', 'Drama']",8.6
33,The Pianist,2002,['Biography'],8.5
34,Terminator 2: Judgment Day,1991,['Action'],8.5
35,Back to the Future,1985,['Adventure'],8.5
36,The Usual Suspects,1995,['Crime'],8.5
37,Psycho,1960,['Horror'],8.5
38,The Lion King,1994,['Animation'],8.5
39,Modern Times,1936,"['Comedy', 'Drama']",8.5
40,Grave of the Fireflies,1988,['Animation'],8.5
41,American History X,1998,['Drama'],8.5
42,Whiplash,2014,['Drama'],8.5
43,Gladiator,2000,['Action'],8.5
44,The Departed,2006,['Crime'],8.5
45,City Lights,1931,"['Comedy', 'Drama']",8.5
46,Untouchable,2011,['Biography'],8.5
47,The Prestige,2006,['Drama'],8.5
48,Casablanca,1942,['Drama'],8.5
49,Once Upon a Time in the West,1968,['Western'],8.5
50,Rear Window,1954,['Mystery'],8.5
51,Cinema Paradiso,1988,['Drama'],8.5
52,Alien,1979,['Horror'],8.4
53,Apocalypse Now,1979,['Drama'],8.4
54,Memento,2000,['Mystery'],8.4
55,Raiders of the Lost Ark,1981,['Action'],8.4
56,The Great Dictator,1940,['Comedy'],8.4
57,Django Unchained,2012,['Drama'],8.4
58,The Lives of Others,2006,"['Drama', 'Mystery']",8.4
59,Paths of Glory,1957,['Drama'],8.4
60,Sunset Blvd.,1950,['Drama'],8.4
